,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count,setup
0,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,time_seconds,27.18,4,kubernetes
1,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_0_accuracy,0.6871,4,kubernetes
2,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_0_loss,0.829,4,kubernetes
3,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_1_accuracy,0.7611,4,kubernetes
4,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_1_loss,0.6528,4,kubernetes
5,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_2_accuracy,0.7758,4,kubernetes
6,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_2_loss,0.5945,4,kubernetes
7,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_3_accuracy,0.8073,4,kubernetes
8,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_3_loss,0.5305,4,kubernetes
9,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,time_seconds,27.6,4,kubernetes
10,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_0_accuracy,0.6874,4,kubernetes
11,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_0_loss,0.8287,4,kubernetes
12,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_1_accuracy,0.7612,4,kubernetes
13,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_1_loss,0.6536,4,kubernetes
14,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_2_accuracy,0.7754,4,kubernetes
15,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_2_loss,0.5949,4,kubernetes
16,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_3_accuracy,0.807,4,kubernetes
17,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_3_loss,0.532,4,kubernetes
18,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,time_seconds,27.41,4,kubernetes
19,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_0_accuracy,0.6869,4,kubernetes
20,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_0_loss,0.8299,4,kubernetes
21,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_1_accuracy,0.7606,4,kubernetes
22,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_1_loss,0.6533,4,kubernetes
23,azure/aks/gpu,azure,aks,gpu,4,usernetes-vs-kubernetes,epoch_2_accuracy,0.7761,4,kubernetes
