,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count,setup
0,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,time_seconds,29.648,8,kubernetes
1,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_0_accuracy,0.6868,8,kubernetes
2,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_0_loss,0.8298,8,kubernetes
3,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_1_accuracy,0.7608,8,kubernetes
4,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_1_loss,0.6532,8,kubernetes
5,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_2_accuracy,0.7759,8,kubernetes
6,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_2_loss,0.5949,8,kubernetes
7,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_3_accuracy,0.8075,8,kubernetes
8,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_3_loss,0.5314,8,kubernetes
9,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,time_seconds,29.305,8,kubernetes
10,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_0_accuracy,0.6869,8,kubernetes
11,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_0_loss,0.8303,8,kubernetes
12,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_1_accuracy,0.7606,8,kubernetes
13,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_1_loss,0.6531,8,kubernetes
14,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_2_accuracy,0.7762,8,kubernetes
15,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_2_loss,0.5953,8,kubernetes
16,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_3_accuracy,0.8068,8,kubernetes
17,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_3_loss,0.5319,8,kubernetes
18,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,time_seconds,29.587,8,kubernetes
19,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_0_accuracy,0.6875,8,kubernetes
20,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_0_loss,0.8287,8,kubernetes
21,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_1_accuracy,0.7616,8,kubernetes
22,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_1_loss,0.6526,8,kubernetes
23,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_2_accuracy,0.7757,8,kubernetes
24,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_2_loss,0.5941,8,kubernetes
25,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_3_accuracy,0.807,8,kubernetes
26,azure/aks/gpu,azure,aks,gpu,8,usernetes-vs-kubernetes,epoch_3_loss,0.5317,8,kubernetes
